Date,Rain,Depth,South,North,West,East,TemperatureMax,TemperatureMin,OtherObservations
2019-2-9,0,10,134,24,148,83,34,22,"Ice melting, Algae, Humid, Very windy"
2019-2-10,0,10.1,135,23,140,69,36,20,"Ice melting, Algae"
2019-2-11,0,10.8,91,23,132,69,37,22,"Ice melting, Algae"
2019-2-12,0.85,11.2,NA,26,NA,68,35,14,"Snow, Some measurements were unreadable due to snow and ice, Rain measurement is inches of snow"
2019-2-13,1.3,11,NA,26,148,66,41,31,"Measurements maybe shorter than reality, Rain and snow, Ice and snow made some measurements difficult, Rain measurement is inches of snow & rain"
2019-2-14,0.05,10.1,NA,24,149,70,38,25,"Snow and ice may have made measures inaccurate, Algae"
2019-2-15,0.025,10.9,NA,24,NA,83,50,25,"Warm, Ice melting, Algae, A tiny bit of rain, Some measurements were unreadable"
2019-2-16,0,7.5,80.0,42.3,67.0,38.2,44,28,"(Away on vacation, Dad did measurements), Gentle flow, Ice and snow mostly melted"
2019-2-17,0,6.5,84.6,42.5,65.0,49.0,37,19,"(Away on vacation, Dad did measurements)"
2019-2-18,NA,NA,NA,NA,NA,NA,31,19,"(Dad unable to measure)"
2019-2-19,NA,NA,NA,NA,NA,NA,31,12,"(Dad unable to measure)"
2019-2-20,NA,NA,NA,NA,NA,NA,29,8,"(Dad unable to measure)"
2019-2-21,NA,NA,NA,NA,NA,NA,46,24,"(Dad unable to measure)"
2019-2-22,NA,NA,NA,NA,NA,NA,43,26,"(Dad unable to measure)"
2019-2-23,0.9,5,84.6,43.0,66.0,47.0,40,19,"(Away on vacation, Dad did measurements), Some ice/snow, Lots of algae, Mild flow"
2019-2-24,NA,NA,NA,NA,NA,NA,44,32,"Forgot to measure"
2019-2-25,NA,NA,NA,NA,NA,NA,40,28,Too windy trees and branches falling
2019-2-26,0.5,10.4,NA,23.6,153.8,68.2,30,17,"Frozen rain in gauge, Snow, ice, and wind, Algae, Some measurements were difficult to read due to ice and snow"
2019-2-27,0,10.5,25.8,NA,150.3,68.4,24,9,"Cold, Pond almost completely frozen, Algae, Snow still in parts of pond and surrounding area, Unable to measure some parts due to snow"
2019-2-28,NA,NA,NA,NA,NA,NA,30,12,"Forgot to measure"
2019-3-1,0.01,11.5,NA,26,142.5,67.9,38,11,"4:00, Light dusting of snow, Unable to measure areas of pond due to ice and snow, Algae"
2019-3-2,0.3,11.5,NA,25.1,NA,68.4,33,27,"Unable to measure areas of pond due to ice and snow, Pond frozen over, Algae, Rain measurement is inches of snow"
2019-3-3,0.1,11.3,NA,125.1,NA,66.7,42,21,"Snow and ice make measurements difficult, Pond frozen, Hot, Algae"
2019-3-4,NA,NA,NA,NA,NA,NA,39,22,Was not able do measure due to play practice.
2019-3-5,NA,NA,NA,NA,NA,NA,29,11,Was not able do measure due to play practice.
2019-3-6,NA,NA,NA,NA,NA,NA,25,12,Was not able do measure due to play practice.
2019-3-7,NA,NA,NA,NA,NA,NA,28,6,Was not able do measure due to play practice.
2019-3-8,NA,NA,NA,NA,NA,NA,37,2,Was not able do measure due to play practice.
2019-3-9,0,10.3,NA,24.2,NA,70.4,46,10,"Lots more Algae, Snow and ice make measurements difficult"
2019-3-10,0.7,4.5,NA,23.4,NA,66.7,38,21,"5:30, Slush, snow, and ice make measurements difficult, Algae, Rain measurement is inches of slush"
2019-3-11,NA,NA,NA,NA,NA,NA,48,36,Was not able do measure due to play performance.
2019-3-12,NA,NA,NA,NA,NA,NA,42,25,Was not able do measure due to play performance.
2019-3-13,NA,NA,NA,NA,NA,NA,44,19,Was not able do measure due to play performance.
2019-3-14,0,10.8,NA,224.0,81.3,69.7,50,36,"Warm, Snow and ice melting, Some measurements still difficult, Lots of Algae"
2019-3-15,0.05,12.7,157.2,26.4,97.4,69.1,64,41,"Snow melting, Warm, Measurements possibly a bit off, Algae"
2019-3-16,0.5,13.9,22.7,27.4,167.3,70.4,54,33,"Snow/ice melted, Algae, Cold, Measurements possibly a bit off"
2019-3-17,0,12.6,221.4,25.4,192.7,69,41,28,"Algae, Snow/ice melting, Cold, Pond has expanded southward"
2019-3-18,0,12.3,221.7,23.9,182.9,68.2,43,23,"4:30, Algae, Snow and ice melting, Chilly, Thorn stabbed boot and foot"
2019-3-19,0,13.7,233.7,23.4,182.5,69.6,45,20,"5:00, Algae, Snow and ice almost melted, Chilly"
2019-3-20,0,12.2,237.2,24.4,190.6,68.3,54,20,"Algae, Warm, Ice/snow melting, 4:30, Pond larger"
2019-3-21,0,12.8,298.4,23.7,189.1,69.9,52,28,"Algae, Pond larger, 4:15, Warm"
2019-3-22,0,13.2,285.5,24.9,188.6,70.9,42,38,"Algae, Warm, Ice/snow melted, 4:30, Pond larger"
2019-3-23,NA,NA,NA,NA,NA,NA,48,33,Forgot to measure
2019-3-24,0,12.7,286.9,25.4,182.2,71.4,59,26,"Lots more algae, Warm, Insects, mainly mosquitoes, around pond"
2019-3-25,0,11.4,153.5,23.2,161.6,70.6,50,25,"Lots more algae, Hot, Mosquitoes, Lighting bugs and cotton bugs(?)"
2019-3-26,0,11.5,204.5,22.5,133.4,69.8,45,22,"Lots more algae, Hot, Grass, Mosquitoes/gnats"
2019-3-27,0,11.2,185.9,23.2,130.1,66.9,46,20,"Lots -o- lots algae, Mosquitoes, Warm, Frog eggs(?), Lots more moss"
2019-3-28,0,10.9,152.2,24.5,127.9,67.8,56,28,"Algae, Mosquitoes, Warm"
2019-3-29,0.025,11.9,190.9,24.9,135,69.9,58,42,"Light shower, Warm, Algae"
2019-3-30,0,11.5,152.9,24.4,122.6,67.3,69,43,"Algae, Really hot, Skunk cabbage, Lots of bugs"
2019-3-31,0.1,11.9,305.1,27.5,141.1,66.6,69,38,"Algae, Rained, Warm, Bugs"
2019-4-1,0.01,11.4,152.2,27.3,130.1,65.5,46,26,"Algae, Hot, High wind chill, Mosquitoes, Bugs, Windy, Clear sky"
2019-4-2,0,11,124.3,24,121.9,68.4,52,20,"Lots of mosquitoes and gnats, Warm, Windy, Algae"
2019-4-3,0,11,123.4,24,110.9,65.7,63,38,"Algae, Mosquitoes, Warm, Gnats, Windy"
2019-4-4,NA,NA,NA,NA,NA,NA,51,34,"Math League"
2019-4-5,0.1,11.1,142.9,24.7,121,68.4,49,25,"Light showers the day before, Warm, Algae, Mosquitoes"
2019-4-6,0.2,11.3,155.6,26.4,129.5,67.4,65,35,"Rained last night, Bugs, Algae, Warm, Clear sky"
2019-4-7,0,11.1,127.1,25.3,125.4,66.8,69,34,"Lots more algae, Room temp outside, Mosquitoes, 4:30"
2019-4-8,0.4,11.4,204.2,26.5,149.4,65.1,54,36,"Rained, Cold, Mosquitoes, Algae"
2019-4-9,0,11.2,129.9,26.2,130.8,67.2,41,34,"Algae, Cold, Bugs, 4:00"
2019-4-10,0.2,11.4,136.2,24.9,131.3,67.1,46,29,"Algae, Chilly, Mosquitoes, Bugs, 4:00, Rain last night"
2019-4-11,0,11.6,154.1,26.1,129.9,66.2,55,28,"Thin oil like layer on top of pond, Moss, Algae, Warm, A cistern was drained, Mosquitoes, Bugs, 4:30"
2019-4-12,0,12,214.4,26.5,128.3,67.3,54,34,"Algae, Chilly, Bugs, Plants are budding"
2019-4-13,0.3,12.3,231.3,26.2,187.2,66.6,76,54,"Algae, Moss, Really hot, 70* - 80*, Many mosquitoes"
2019-4-14,0,12.5,300.6,22.6,196.6,65.5,71,50,"Water Striders, Algae, Cistern overflowing, Warm, Mosquitoes, Moss, Oil like sheen on top of water"
2019-4-15,1.0,12.9,317.7,28.2,210.8,68.9,70,43,"Really windy, Thunderstorms during day and night, Chilly, Algae, Mossy, 5:30, Lots more skunk cabbage"
2019-4-16,0,12.2,213.5,25.1,175.9,65.6,60,41,"Cistern overflowing, Algae, Mossy, HOT, Chilly breeze, 4:30, Bugs, Most plants budding"
2019-4-17,0,12.1,203.5,25.5,123.2,65.1,64,31,"Bugs, Room temp outside, Clear sky, Algae, Mossy, Glass, Skunk cabbage, Buds on plants"
2019-4-18,0,11.9,126.6,25.4,121.7,65.3,64,35,"Algae, Moss, Bugs, Grass, Budding plants, Cool temp, Lots -o- skunk cabbage, 5:30, Light sprinkles of rain"
2019-4-19,0,12.3,141.8,24.2,116.6,66.5,NA,NA,"Algae, Moss, Grass, Bugs, Hot, Skunk cabbage, 5:30"
2019-4-20,0.2,12.8,270.6,24.4,188.4,66.8,NA,NA,"Rained last night and sprinkling during day, Algae, Moss, Grass, Skunk cabbage, Hot, Bugs, Wasps, 5:30"
2019-4-21,0.15,13,304.6,25.6,198.5,66.7,NA,NA,"Rained last night, Algae, Moss, Grass, Skunk cabbage, Budding/Blooming Plants, Bugs, Bees, 5:50, Warm"
2019-4-22,NA,NA,NA,NA,NA,NA,NA,NA,"Forgot to measure"
2019-4-23,2.1,14.3,328.4,29.1,230.3,68.8,NA,NA,"Huge showers day & night before, Cistern overflowing as well into pond, All plants blooming, Algae, Moss, Grass, Skunk cabbage, Bugs, Warm, Pond Much bigger in all dimensions, Last day measuring"
